@relation TestData

@attribute cord0 numeric
@attribute cord1 numeric
@attribute cat {true,false}

@data
7.99531857084,5.87173465506,true
0.214886461291,4.56523557531,false
9.56001577953,6.34338007037,true
5.8255048837,8.39870711234,true
6.04848884361,0.47401223367,false
1.92174559804,8.70836998945,false
2.64578984624,1.50744590827,false
3.57528382743,8.25610006914,false
5.35356687977,5.7055309576,false
2.52668778065,4.02004089639,false
4.77733559857,1.71333384977,false
3.11308623658,2.39655403993,false
8.73789557374,6.47957689039,true
6.01935074257,1.31955471412,false
9.27416774469,3.17661932691,true
0.537760688779,1.88320163242,false
0.936407188887,0.578133848012,false
9.53427710612,9.36511966285,true
4.8218426095,2.30529622863,false
2.57535373929,8.9233083559,false
9.75806253376,7.53153858855,true
3.66157915335,0.806557276872,false
9.51670831183,6.48744531474,true
1.58840237942,4.73940172398,false
0.116235442493,2.88509641667,false
3.03619459415,3.19707544108,false
6.77845029379,1.48215795636,false
4.47588216632,7.71175073787,true
5.08657220875,0.0927292593694,false
5.70479468958,5.6432345213,false
4.97756642529,3.76046206292,false
2.0543697067,6.8540708569,false
4.06623639134,7.46336455636,false
7.82940412693,9.49874940059,true
9.63723833389,5.39042093619,true
0.614446973481,7.26164673312,false
5.08998128572,2.17448190944,false
8.27357830839,5.60026989192,true
9.67615442629,4.58350084229,true
5.23756339773,3.95247629033,false
9.20320604639,1.38399225223,false
5.3026003902,5.94038263041,false
2.22084933014,6.74333699475,false
6.38929597009,4.87982790455,false
2.87950998409,5.10607114747,false
8.05780563703,8.81247162871,true
8.64367989786,3.55137768913,true
8.758076392,5.1486348329,true
1.96783513401,8.22378945957,false
0.544374513601,7.97605725445,false
2.17203799197,1.99693495284,false
7.26548162633,3.06607732456,false
1.66283542407,8.30053766382,false
0.477868366928,7.15609248625,false
8.7152395292,7.35517685944,true
9.97482166317,7.1912861175,true
7.84822696413,2.40437408951,false
1.90218400439,1.3890190402,false
8.80870279468,3.7319494579,true
6.38220707235,5.50466116937,false
2.07109703602,3.09309567465,false
8.39071561847,5.23676312708,true
9.25538734308,5.38427797622,true
4.97855261937,9.27634988161,true
5.48377110533,3.34453489715,false
5.63813174705,8.60509864204,true
3.83867786693,9.13795772959,true
2.64858835439,6.86837972592,false
1.96606128546,0.133329058372,false
