@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
2131,15,611.62,920.0,9.11,14.05,0.1,0.1,1,4732
2131,15,611.62,920.0,9.11,14.05,0.1,0.1,2,3456
2131,15,611.62,920.0,9.11,14.05,0.1,0.1,4,3689
2131,15,611.62,920.0,9.11,14.05,0.1,0.4,1,4469
2131,15,611.62,920.0,9.11,14.05,0.1,0.4,2,3588
2131,15,611.62,920.0,9.11,14.05,0.1,0.4,4,4425
2131,15,611.62,920.0,9.11,14.05,0.1,0.7,1,4594
2131,15,611.62,920.0,9.11,14.05,0.1,0.7,2,4282
2131,15,611.62,920.0,9.11,14.05,0.1,0.7,4,3931
495,25,201.06,178.0,23.13,46.75,0.1,0.1,1,3361
495,25,201.06,178.0,23.13,46.75,0.1,0.1,2,2739
495,25,201.06,178.0,23.13,46.75,0.1,0.1,4,2859
495,25,201.06,178.0,23.13,46.75,0.1,0.4,1,2988
495,25,201.06,178.0,23.13,46.75,0.1,0.4,2,2713
495,25,201.06,178.0,23.13,46.75,0.1,0.4,4,2699
495,25,201.06,178.0,23.13,46.75,0.1,0.7,1,2977
495,25,201.06,178.0,23.13,46.75,0.1,0.7,2,2593
495,25,201.06,178.0,23.13,46.75,0.1,0.7,4,2892
2072,14,699.69,845.0,8.83,13.44,0.1,0.1,1,1997
2072,14,699.69,845.0,8.83,13.44,0.1,0.1,2,1837
2072,14,699.69,845.0,8.83,13.44,0.1,0.1,4,1799
2072,14,699.69,845.0,8.83,13.44,0.1,0.4,1,1828
2072,14,699.69,845.0,8.83,13.44,0.1,0.4,2,1774
2072,14,699.69,845.0,8.83,13.44,0.1,0.4,4,1758
2072,14,699.69,845.0,8.83,13.44,0.1,0.7,1,1768
2072,14,699.69,845.0,8.83,13.44,0.1,0.7,2,1688
2072,14,699.69,845.0,8.83,13.44,0.1,0.7,4,1751
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.1,1,70223
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.1,2,52512
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.1,4,45248
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.4,1,61032
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.4,2,39948
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.4,4,39217
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.7,1,51313
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.7,2,45970
2989,22,1146.28,1318.0,15.92,31.17,0.1,0.7,4,36478
1572,20,451.75,574.0,9.22,14.63,0.1,0.1,1,7115
1572,20,451.75,574.0,9.22,14.63,0.1,0.1,2,5306
1572,20,451.75,574.0,9.22,14.63,0.1,0.1,4,5804
1572,20,451.75,574.0,9.22,14.63,0.1,0.4,1,7245
1572,20,451.75,574.0,9.22,14.63,0.1,0.4,2,5480
1572,20,451.75,574.0,9.22,14.63,0.1,0.4,4,5622
1572,20,451.75,574.0,9.22,14.63,0.1,0.7,1,7165
1572,20,451.75,574.0,9.22,14.63,0.1,0.7,2,5483
1572,20,451.75,574.0,9.22,14.63,0.1,0.7,4,7567
1795,21,651.49,788.0,16.15,30.46,0.1,0.1,1,34669
1795,21,651.49,788.0,16.15,30.46,0.1,0.1,2,24572
1795,21,651.49,788.0,16.15,30.46,0.1,0.1,4,23651
1795,21,651.49,788.0,16.15,30.46,0.1,0.4,1,30718
1795,21,651.49,788.0,16.15,30.46,0.1,0.4,2,20560
1795,21,651.49,788.0,16.15,30.46,0.1,0.4,4,21137
1795,21,651.49,788.0,16.15,30.46,0.1,0.7,1,27288
1795,21,651.49,788.0,16.15,30.46,0.1,0.7,2,18628
1795,21,651.49,788.0,16.15,30.46,0.1,0.7,4,19148
1538,13,516.82,706.0,9.11,14.44,0.1,0.1,1,1782
1538,13,516.82,706.0,9.11,14.44,0.1,0.1,2,1762
1538,13,516.82,706.0,9.11,14.44,0.1,0.1,4,2156
1538,13,516.82,706.0,9.11,14.44,0.1,0.4,1,1825
1538,13,516.82,706.0,9.11,14.44,0.1,0.4,2,1741
1538,13,516.82,706.0,9.11,14.44,0.1,0.4,4,1748
1538,13,516.82,706.0,9.11,14.44,0.1,0.7,1,1849
1538,13,516.82,706.0,9.11,14.44,0.1,0.7,2,1810
1538,13,516.82,706.0,9.11,14.44,0.1,0.7,4,1793
2998,27,1205.1,1246.0,23.03,47.56,0.1,0.1,1,133191
2998,27,1205.1,1246.0,23.03,47.56,0.1,0.1,2,85758
2998,27,1205.1,1246.0,23.03,47.56,0.1,0.1,4,83528
2998,27,1205.1,1246.0,23.03,47.56,0.1,0.4,1,125731
