@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute mediana_pca numeric
@attribute max_pca numeric
@attribute var_pca numeric
@attribute avg_pca numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.1,1,67087
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.1,2,49135
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.1,4,49071
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.4,1,61507
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.4,2,43051
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.4,4,44297
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.7,1,61256
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.7,2,45650
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.1,0.7,4,46647
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.1,1,6693
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.1,2,4693
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.1,4,5345
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.4,1,6189
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.4,2,4907
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.4,4,5100
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.7,1,9405
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.7,2,6759
721,21,231.11,367.0,16.27,30.94,11.0,1.0,10.01,7.21,0.3,0.7,4,5221
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.1,1,2598
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.1,2,2572
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.1,4,2283
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.4,1,2311
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.4,2,2282
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.4,4,2402
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.7,1,2390
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.7,2,2149
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.1,0.7,4,2361
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.1,1,1769
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.1,2,1741
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.1,4,1770
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.4,1,1724
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.4,2,1746
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.4,4,1769
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.7,1,1731
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.7,2,1622
737,19,296.76,314.0,16.18,30.47,12.0,1.0,19.21,7.37,0.3,0.7,4,1684
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.1,1,2787
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.1,2,2267
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.1,4,2344
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.4,1,2512
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.4,2,2145
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.4,4,2281
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.7,1,2258
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.7,2,2169
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.1,0.7,4,2193
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.1,1,1749
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.1,2,1740
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.1,4,1722
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.4,1,1766
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.4,2,1928
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.4,4,1764
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.7,1,1767
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.7,2,1747
728,19,292.26,306.0,16.22,30.52,12.5,1.0,19.64,7.28,0.3,0.7,4,1704
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.1,1,3124
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.1,2,2898
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.1,4,3049
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.4,1,3072
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.4,2,2697
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.4,4,2957
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.7,1,3022
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.7,2,2679
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.1,0.7,4,2812
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.1,1,1762
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.1,2,1691
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.1,4,1786
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.4,1,1785
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.4,2,1831
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.4,4,1751
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.7,1,1726
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.7,2,2077
725,20,295.45,297.0,15.96,30.73,7.0,1.0,20.36,7.25,0.3,0.7,4,1761
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.1,1,15476
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.1,2,12399
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.1,4,12964
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.4,1,14442
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.4,2,11013
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.4,4,11852
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.7,1,13077
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.7,2,9533
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.1,0.7,4,10274
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.3,0.1,1,4152
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.3,0.1,2,3335
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.3,0.1,4,3656
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.3,0.4,1,4140
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.3,0.4,2,3540
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.3,0.4,4,3481
725,20,264.44,337.0,16.14,30.64,10.0,1.0,10.94,7.25,0.3,0.7,1,4107
