@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute mediana_pca numeric
@attribute min_pca numeric
@attribute max_pca numeric
@attribute var_pca numeric
@attribute avg_pca numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.1,1,66251
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.1,2,22976
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.1,3,27128
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.3,1,23992
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.3,2,23636
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.3,3,20729
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.5,1,15761
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.5,2,18196
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.5,3,21281
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.7,1,15084
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.7,2,14297
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.1,0.7,3,16258
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.1,1,1507
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.1,2,1446
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.1,3,1505
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.3,1,1444
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.3,2,1487
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.3,3,1493
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.5,1,1438
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.5,2,1567
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.5,3,1454
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.7,1,1444
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.7,2,1432
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.3,0.7,3,1792
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.5,0.1,1,1178
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.5,0.1,2,1200
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.5,0.1,3,1208
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.5,0.3,1,1261
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.5,0.3,2,1212
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.5,0.3,3,1197
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.5,0.5,1,1238
10,18,3.0,4,9.80866963456,20.3,1.0,1.0,1.0,0.301511344578,0.1,0.5,0.5,2,1244
